market_value,name,url
60000000,Thibaut Courtois,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390
60000000,Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
55000000,Moisés Caicedo,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626
55000000,William Saliba,https://www.transfermarkt.com/william-saliba/profil/spieler/495666
55000000,Dejan Kulusevski,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
55000000,Jadon Sancho,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173
55000000,Richarlison,https://www.transfermarkt.com/richarlison/profil/spieler/378710
55000000,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950
55000000,Alessandro Bastoni,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
55000000,James Maddison,https://www.transfermarkt.com/james-maddison/profil/spieler/294057
50000000,Julián Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024
50000000,Min-jae Kim,https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482
50000000,Lisandro Martínez,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762
50000000,João Félix,https://www.transfermarkt.com/joao-felix/profil/spieler/462250
50000000,Gabriel Magalhães,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338
50000000,Raphinha,https://www.transfermarkt.com/raphinha/profil/spieler/411295
50000000,Sandro Tonali,https://www.transfermarkt.com/sandro-tonali/profil/spieler/397033
50000000,Moussa Diaby,https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516
50000000,Mikel Oyarzabal,https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478
50000000,Alexander Isak,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
50000000,Federico Chiesa,https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092
50000000,Mikel Merino,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424
50000000,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721
50000000,Gianluigi Donnarumma,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858
50000000,Lucas Hernández,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
50000000,Ivan Toney,https://www.transfermarkt.com/ivan-toney/profil/spieler/251664
50000000,Marco Verratti,https://www.transfermarkt.com/marco-verratti/profil/spieler/102558
50000000,David Alaba,https://www.transfermarkt.com/david-alaba/profil/spieler/59016
50000000,Casemiro,https://www.transfermarkt.com/casemiro/profil/spieler/16306
48000000,Andrew Robertson,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803
45000000,Matheus Nunes,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883
45000000,Lucas Paquetá,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523
45000000,Pau Torres,https://www.transfermarkt.com/pau-torres/profil/spieler/399776
45000000,Sven Botman,https://www.transfermarkt.com/sven-botman/profil/spieler/361093
45000000,Diogo Costa,https://www.transfermarkt.com/diogo-costa/profil/spieler/357153
45000000,Tammy Abraham,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726
45000000,Fikayo Tomori,https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254
45000000,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223
45000000,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693
45000000,Pierre-Emile Höjbjerg,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799
45000000,Virgil van Dijk,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208
45000000,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470
45000000,Lionel Messi,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003
42000000,Alexis Mac Allister,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
42000000,Vitinha,https://www.transfermarkt.com/vitinha/profil/spieler/487469
42000000,Amadou Onana,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706
42000000,Jurrien Timber,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243
40000000,Gonçalo Ramos,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550
40000000,Bremer,https://www.transfermarkt.com/bremer/profil/spieler/516716
40000000,Anthony Gordon,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733
40000000,Benoît Badiashile,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603
40000000,Martín Zubimendi,https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440
40000000,Rodrigo Bentancur,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362
40000000,Frank Anguissa,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361
40000000,Ismaël Bennacer,https://www.transfermarkt.com/ismael-bennacer/profil/spieler/351816
40000000,Dani Olmo,https://www.transfermarkt.com/dani-olmo/profil/spieler/293385
40000000,Marc Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857
40000000,Rodrigo de Paul,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901
40000000,Rúben Neves,https://www.transfermarkt.com/ruben-neves/profil/spieler/225161
40000000,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853
40000000,Piotr Zielinski,https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136
40000000,Raphaël Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770
40000000,Jan Oblak,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483
40000000,Romelu Lukaku,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
40000000,Antonio Rüdiger,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202
40000000,Marc-André ter Stegen,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857
40000000,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471
40000000,Robert Lewandowski,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253
38000000,Yéremy Pino,https://www.transfermarkt.com/yeremy-pino/profil/spieler/568157
38000000,Aaron Ramsdale,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568
38000000,Emile Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765
38000000,Fabián Ruiz,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219
38000000,Joelinton,https://www.transfermarkt.com/joelinton/profil/spieler/333241
38000000,Jarrod Bowen,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
38000000,Patrik Schick,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
38000000,Thomas Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784
